date,btc_open,note
2013-01-04,104.0,btc_open forward-filled
2013-01-05,117.0,btc_open forward-filled
2013-01-06,129.0,btc_open forward-filled
2013-01-07,83.0,btc_open forward-filled
2013-01-08,97.0,btc_open forward-filled
2013-01-09,131.0,btc_open forward-filled
2013-01-10,128.0,btc_open forward-filled
2013-01-11,204.0,btc_open forward-filled
2013-01-12,965.0,btc_open forward-filled
2013-01-13,15.0,btc_open forward-filled
2013-01-14,15.0,btc_open forward-filled
2013-01-15,15.0,btc_open forward-filled
2013-01-16,15.0,btc_open forward-filled
2013-01-17,16.0,btc_open forward-filled
2013-01-18,16.0,btc_open forward-filled
2013-01-19,16.0,btc_open forward-filled
2013-01-20,16.0,btc_open forward-filled
2013-01-21,17.0,btc_open forward-filled
2013-01-22,18.0,btc_open forward-filled
2013-01-23,18.0,btc_open forward-filled
2013-01-24,17.0,btc_open forward-filled
2013-01-25,18.0,btc_open forward-filled
2013-01-26,18.0,btc_open forward-filled
2013-01-27,18.0,btc_open forward-filled
2013-01-28,19.0,btc_open forward-filled
2013-01-29,20.0,btc_open forward-filled
2013-01-30,20.0,btc_open forward-filled
2013-01-31,21.0,btc_open forward-filled
2013-02-01,14.0,btc_open forward-filled
2013-02-02,20.0,btc_open forward-filled
2013-02-03,35.0,btc_open forward-filled
2013-02-04,117.0,btc_open forward-filled
2013-02-05,107.0,btc_open forward-filled
2013-02-06,123.0,btc_open forward-filled
2013-02-07,88.0,btc_open forward-filled
2013-02-08,97.0,btc_open forward-filled
2013-02-09,130.0,btc_open forward-filled
2013-02-10,105.0,btc_open forward-filled
2013-02-11,205.0,btc_open forward-filled
2013-02-12,1041.0,btc_open forward-filled
2013-02-13,25.0,btc_open forward-filled
2013-02-14,28.0,btc_open forward-filled
2013-02-15,28.0,btc_open forward-filled
2013-02-16,28.0,btc_open forward-filled
2013-02-17,27.0,btc_open forward-filled
2013-02-18,27.0,btc_open forward-filled
2013-02-19,30.0,btc_open forward-filled
2013-02-20,30.0,btc_open forward-filled
2013-02-21,30.0,btc_open forward-filled
2013-02-22,31.0,btc_open forward-filled
2013-02-23,30.0,btc_open forward-filled
2013-02-24,30.0,btc_open forward-filled
2013-02-25,31.0,btc_open forward-filled
2013-02-26,32.0,btc_open forward-filled
2013-02-27,32.0,btc_open forward-filled
2013-02-28,34.0,btc_open forward-filled
2013-03-01,14.0,btc_open forward-filled
2013-03-02,21.0,btc_open forward-filled
2013-03-03,35.0,btc_open forward-filled
2013-03-04,132.0,btc_open forward-filled
2013-03-05,97.0,btc_open forward-filled
2013-03-06,123.0,btc_open forward-filled
2013-03-07,78.0,btc_open forward-filled
2013-03-08,96.0,btc_open forward-filled
2013-03-09,130.0,btc_open forward-filled
2013-03-10,118.0,btc_open forward-filled
2013-03-11,211.0,btc_open forward-filled
2013-03-12,1054.0,btc_open forward-filled
2013-03-13,48.0,btc_open forward-filled
2013-03-14,47.0,btc_open forward-filled
2013-03-15,47.0,btc_open forward-filled
2013-03-16,48.0,btc_open forward-filled
2013-03-17,48.0,btc_open forward-filled
2013-03-18,52.0,btc_open forward-filled
2013-03-19,60.0,btc_open forward-filled
2013-03-20,64.0,btc_open forward-filled
2013-03-21,71.0,btc_open forward-filled
2013-03-22,70.0,btc_open forward-filled
2013-03-23,65.0,btc_open forward-filled
2013-03-24,72.0,btc_open forward-filled
2013-03-25,75.0,btc_open forward-filled
2013-03-26,79.0,btc_open forward-filled
2013-03-27,89.0,btc_open forward-filled
2013-03-28,88.0,btc_open forward-filled
2013-03-29,91.0,btc_open forward-filled
2013-03-30,93.0,btc_open forward-filled
2013-03-31,94.0,btc_open forward-filled
2013-04-01,14.0,btc_open forward-filled
2013-04-02,21.0,btc_open forward-filled
2013-04-03,37.0,btc_open forward-filled
2013-04-04,134.0,btc_open forward-filled
2013-04-05,113.0,btc_open forward-filled
2013-04-06,121.0,btc_open forward-filled
2013-04-07,80.0,btc_open forward-filled
2013-04-08,97.0,btc_open forward-filled
2013-04-09,123.0,btc_open forward-filled
2013-04-10,122.0,btc_open forward-filled
2013-04-11,229.0,btc_open forward-filled
2013-04-12,1135.0,btc_open forward-filled
2013-04-13,98.0,btc_open forward-filled
2013-04-14,89.0,btc_open forward-filled
2013-04-15,81.0,btc_open forward-filled
2013-04-16,69.0,btc_open forward-filled
2013-04-17,93.0,btc_open forward-filled
2013-04-18,109.0,btc_open forward-filled
2013-04-19,120.0,btc_open forward-filled
2013-04-20,129.0,btc_open forward-filled
2013-04-21,119.0,btc_open forward-filled
2013-04-22,127.0,btc_open forward-filled
2013-04-23,143.0,btc_open forward-filled
2013-04-24,155.0,btc_open forward-filled
2013-04-25,142.0,btc_open forward-filled
2013-04-26,138.0,btc_open forward-filled
2013-04-27,129.0,btc_open forward-filled
2013-04-28,135.0,btc_open forward-filled
2013-04-29,144.0,btc_open forward-filled
2013-04-30,140.0,btc_open forward-filled
2013-05-01,14.0,btc_open forward-filled
2013-05-02,21.0,btc_open forward-filled
2013-05-03,41.0,btc_open forward-filled
2013-05-04,143.0,btc_open forward-filled
2013-05-05,117.0,btc_open forward-filled
2013-05-06,121.0,btc_open forward-filled
2013-05-07,68.0,btc_open forward-filled
2013-05-08,98.0,btc_open forward-filled
2013-05-09,123.0,btc_open forward-filled
2013-05-10,122.0,btc_open forward-filled
2013-05-11,244.0,btc_open forward-filled
2013-05-12,1028.0,btc_open forward-filled
2013-05-13,118.0,btc_open forward-filled
2013-05-14,108.0,btc_open forward-filled
2013-05-15,109.0,btc_open forward-filled
2013-05-16,113.0,btc_open forward-filled
2013-05-17,118.0,btc_open forward-filled
2013-05-18,119.0,btc_open forward-filled
2013-05-19,118.0,btc_open forward-filled
2013-05-20,118.0,btc_open forward-filled
2013-05-21,118.0,btc_open forward-filled
2013-05-22,119.0,btc_open forward-filled
2013-05-23,124.0,btc_open forward-filled
2013-05-24,129.0,btc_open forward-filled
2013-05-25,129.0,btc_open forward-filled
2013-05-26,131.0,btc_open forward-filled
2013-05-27,127.0,btc_open forward-filled
2013-05-28,126.0,btc_open forward-filled
2013-05-29,130.0,btc_open forward-filled
2013-05-30,127.0,btc_open forward-filled
2013-05-31,128.0,btc_open forward-filled
2013-06-01,14.0,btc_open forward-filled
2013-06-02,22.0,btc_open forward-filled
2013-06-03,44.0,btc_open forward-filled
2013-06-04,144.0,btc_open forward-filled
2013-06-05,113.0,btc_open forward-filled
2013-06-06,120.0,btc_open forward-filled
2013-06-07,67.0,btc_open forward-filled
2013-06-08,98.0,btc_open forward-filled
2013-06-09,118.0,btc_open forward-filled
2013-06-10,123.0,btc_open forward-filled
2013-06-11,264.0,btc_open forward-filled
2013-06-12,825.0,btc_open forward-filled
2013-06-13,102.0,btc_open forward-filled
2013-06-14,100.0,btc_open forward-filled
2013-06-15,100.0,btc_open forward-filled
2013-06-16,100.0,btc_open forward-filled
2013-06-17,101.0,btc_open forward-filled
2013-06-18,105.0,btc_open forward-filled
2013-06-19,105.0,btc_open forward-filled
2013-06-20,105.0,btc_open forward-filled
2013-06-21,102.0,btc_open forward-filled
2013-06-22,101.0,btc_open forward-filled
2013-06-23,101.0,btc_open forward-filled
2013-06-24,100.0,btc_open forward-filled
2013-06-25,98.0,btc_open forward-filled
2013-06-26,99.0,btc_open forward-filled
2013-06-27,97.0,btc_open forward-filled
2013-06-28,90.0,btc_open forward-filled
2013-06-29,89.0,btc_open forward-filled
2013-06-30,90.0,btc_open forward-filled
2013-07-01,14.0,btc_open forward-filled
2013-07-02,23.0,btc_open forward-filled
2013-07-03,42.0,btc_open forward-filled
2013-07-04,163.0,btc_open forward-filled
2013-07-05,112.0,btc_open forward-filled
2013-07-06,111.0,btc_open forward-filled
2013-07-07,73.0,btc_open forward-filled
2013-07-08,98.0,btc_open forward-filled
2013-07-09,120.0,btc_open forward-filled
2013-07-10,124.0,btc_open forward-filled
2013-07-11,291.0,btc_open forward-filled
2013-07-12,704.0,btc_open forward-filled
2013-07-13,92.0,btc_open forward-filled
2013-07-14,90.0,btc_open forward-filled
2013-07-15,94.0,btc_open forward-filled
2013-07-16,92.0,btc_open forward-filled
2013-07-17,92.0,btc_open forward-filled
2013-07-18,85.0,btc_open forward-filled
2013-07-19,87.0,btc_open forward-filled
2013-07-20,85.0,btc_open forward-filled
2013-07-21,86.0,btc_open forward-filled
2013-07-22,86.0,btc_open forward-filled
2013-07-23,87.0,btc_open forward-filled
2013-07-24,89.0,btc_open forward-filled
2013-07-25,91.0,btc_open forward-filled
2013-07-26,90.0,btc_open forward-filled
2013-07-27,89.0,btc_open forward-filled
2013-07-28,93.0,btc_open forward-filled
2013-07-29,94.0,btc_open forward-filled
2013-07-30,97.0,btc_open forward-filled
2013-07-31,99.0,btc_open forward-filled
2013-08-01,14.0,btc_open forward-filled
2013-08-02,23.0,btc_open forward-filled
2013-08-03,44.0,btc_open forward-filled
2013-08-04,187.0,btc_open forward-filled
2013-08-05,114.0,btc_open forward-filled
2013-08-06,110.0,btc_open forward-filled
2013-08-07,74.0,btc_open forward-filled
2013-08-08,95.0,btc_open forward-filled
2013-08-09,119.0,btc_open forward-filled
2013-08-10,125.0,btc_open forward-filled
2013-08-11,334.0,btc_open forward-filled
2013-08-12,784.0,btc_open forward-filled
2013-08-13,98.0,btc_open forward-filled
2013-08-14,100.0,btc_open forward-filled
2013-08-15,99.0,btc_open forward-filled
2013-08-16,99.0,btc_open forward-filled
2013-08-17,100.0,btc_open forward-filled
2013-08-18,100.0,btc_open forward-filled
2013-08-19,103.0,btc_open forward-filled
2013-08-20,105.0,btc_open forward-filled
2013-08-21,111.0,btc_open forward-filled
2013-08-22,110.0,btc_open forward-filled
2013-08-23,108.0,btc_open forward-filled
2013-08-24,109.0,btc_open forward-filled
2013-08-25,114.0,btc_open forward-filled
2013-08-26,113.0,btc_open forward-filled
2013-08-27,118.0,btc_open forward-filled
2013-08-28,119.0,btc_open forward-filled
2013-08-29,119.0,btc_open forward-filled
2013-08-30,125.0,btc_open forward-filled
2013-08-31,129.0,btc_open forward-filled
2013-09-01,14.0,btc_open forward-filled
2013-09-02,24.0,btc_open forward-filled
2013-09-03,47.0,btc_open forward-filled
2013-09-04,231.0,btc_open forward-filled
2013-09-05,112.0,btc_open forward-filled
2013-09-06,100.0,btc_open forward-filled
2013-09-07,75.0,btc_open forward-filled
2013-09-08,93.0,btc_open forward-filled
2013-09-09,122.0,btc_open forward-filled
2013-09-10,126.0,btc_open forward-filled
2013-09-11,332.0,btc_open forward-filled
2013-09-12,897.0,btc_open forward-filled
2013-09-13,128.0,btc_open forward-filled
2013-09-14,125.0,btc_open forward-filled
2013-09-15,126.0,btc_open forward-filled
2013-09-16,127.0,btc_open forward-filled
2013-09-17,127.0,btc_open forward-filled
2013-09-18,127.0,btc_open forward-filled
2013-09-19,125.0,btc_open forward-filled
2013-09-20,123.0,btc_open forward-filled
2013-09-21,124.0,btc_open forward-filled
2013-09-22,124.0,btc_open forward-filled
2013-09-23,123.0,btc_open forward-filled
2013-09-24,124.0,btc_open forward-filled
2013-09-25,124.0,btc_open forward-filled
2013-09-26,125.0,btc_open forward-filled
2013-09-27,127.0,btc_open forward-filled
2013-09-28,127.0,btc_open forward-filled
2013-09-29,128.0,btc_open forward-filled
2013-09-30,127.0,btc_open forward-filled
2013-10-01,15.0,btc_open forward-filled
2013-10-02,24.0,btc_open forward-filled
2013-10-03,47.0,btc_open forward-filled
2013-10-04,162.0,btc_open forward-filled
2013-10-05,118.0,btc_open forward-filled
2013-10-06,105.0,btc_open forward-filled
2013-10-07,86.0,btc_open forward-filled
2013-10-08,94.0,btc_open forward-filled
2013-10-09,123.0,btc_open forward-filled
2013-10-10,127.0,btc_open forward-filled
2013-10-11,328.0,btc_open forward-filled
2013-10-12,978.0,btc_open forward-filled
2013-10-13,133.0,btc_open forward-filled
2013-10-14,136.0,btc_open forward-filled
2013-10-15,142.0,btc_open forward-filled
2013-10-16,139.0,btc_open forward-filled
2013-10-17,144.0,btc_open forward-filled
2013-10-18,153.0,btc_open forward-filled
2013-10-19,166.0,btc_open forward-filled
2013-10-20,167.0,btc_open forward-filled
2013-10-21,180.0,btc_open forward-filled
2013-10-22,191.0,btc_open forward-filled
2013-10-23,205.0,btc_open forward-filled
2013-10-24,195.0,btc_open forward-filled
2013-10-25,186.0,btc_open forward-filled
2013-10-26,180.0,btc_open forward-filled
2013-10-27,195.0,btc_open forward-filled
2013-10-28,197.0,btc_open forward-filled
2013-10-29,205.0,btc_open forward-filled
2013-10-30,198.0,btc_open forward-filled
2013-10-31,204.0,btc_open forward-filled
2013-11-01,15.0,btc_open forward-filled
2013-11-02,25.0,btc_open forward-filled
2013-11-03,49.0,btc_open forward-filled
2013-11-04,83.0,btc_open forward-filled
2013-11-05,116.0,btc_open forward-filled
2013-11-06,108.0,btc_open forward-filled
2013-11-07,88.0,btc_open forward-filled
2013-11-08,95.0,btc_open forward-filled
2013-11-09,128.0,btc_open forward-filled
2013-11-10,128.0,btc_open forward-filled
2013-11-11,343.0,btc_open forward-filled
2013-11-12,876.0,btc_open forward-filled
2013-11-13,395.0,btc_open forward-filled
2013-11-14,417.0,btc_open forward-filled
2013-11-15,409.0,btc_open forward-filled
2013-11-16,436.0,btc_open forward-filled
2013-11-17,486.0,btc_open forward-filled
2013-11-18,658.0,btc_open forward-filled
2013-11-19,547.0,btc_open forward-filled
2013-11-20,596.0,btc_open forward-filled
2013-11-21,721.0,btc_open forward-filled
2013-11-22,803.0,btc_open forward-filled
2013-11-23,835.0,btc_open forward-filled
2013-11-24,808.0,btc_open forward-filled
2013-11-25,817.0,btc_open forward-filled
2013-11-26,917.0,btc_open forward-filled
2013-11-27,963.0,btc_open forward-filled
2013-11-28,1008.0,btc_open forward-filled
2013-11-29,1129.0,btc_open forward-filled
2013-11-30,1120.0,btc_open forward-filled
2013-12-01,15.0,btc_open forward-filled
2013-12-02,25.0,btc_open forward-filled
2013-12-03,45.0,btc_open forward-filled
2013-12-04,112.0,btc_open forward-filled
2013-12-05,115.0,btc_open forward-filled
2013-12-06,107.0,btc_open forward-filled
2013-12-07,91.0,btc_open forward-filled
2013-12-08,96.0,btc_open forward-filled
2013-12-09,127.0,btc_open forward-filled
2013-12-10,128.0,btc_open forward-filled
2013-12-11,355.0,btc_open forward-filled
2013-12-12,874.0,btc_open forward-filled
2013-12-13,880.0,btc_open forward-filled
2013-12-14,853.0,btc_open forward-filled
2013-12-15,865.0,btc_open forward-filled
2013-12-16,678.0,btc_open forward-filled
2013-12-17,683.0,btc_open forward-filled
2013-12-18,527.0,btc_open forward-filled
2013-12-19,686.0,btc_open forward-filled
2013-12-20,601.0,btc_open forward-filled
2013-12-21,598.0,btc_open forward-filled
2013-12-22,616.0,btc_open forward-filled
2013-12-23,658.0,btc_open forward-filled
2013-12-24,651.0,btc_open forward-filled
2013-12-25,679.0,btc_open forward-filled
2013-12-26,750.0,btc_open forward-filled
2013-12-27,723.0,btc_open forward-filled
2013-12-28,716.0,btc_open forward-filled
2013-12-29,728.0,btc_open forward-filled
2013-12-30,736.0,btc_open forward-filled
2013-12-31,730.0,btc_open forward-filled
2014-01-01,753.0,btc_open forward-filled
2014-01-02,814.0,btc_open forward-filled
2014-01-03,568.0,btc_open forward-filled
2014-01-04,480.0,btc_open forward-filled
2014-01-05,461.0,btc_open forward-filled
2014-01-06,631.0,btc_open forward-filled
2014-01-07,643.0,btc_open forward-filled
2014-01-08,597.0,btc_open forward-filled
2014-01-09,475.0,btc_open forward-filled
2014-01-10,383.0,btc_open forward-filled
2014-01-11,325.0,btc_open forward-filled
2014-01-12,380.0,btc_open forward-filled
2014-01-13,823.0,btc_open forward-filled
2014-01-14,816.0,btc_open forward-filled
2014-01-15,842.0,btc_open forward-filled
2014-01-16,816.0,btc_open forward-filled
2014-01-17,793.0,btc_open forward-filled
2014-01-18,810.0,btc_open forward-filled
2014-01-19,839.0,btc_open forward-filled
2014-01-20,829.0,btc_open forward-filled
2014-01-21,824.0,btc_open forward-filled
2014-01-22,819.0,btc_open forward-filled
2014-01-23,811.0,btc_open forward-filled
2014-01-24,782.0,btc_open forward-filled
2014-01-25,805.0,btc_open forward-filled
2014-01-26,815.0,btc_open forward-filled
2014-01-27,743.0,btc_open forward-filled
2014-01-28,791.0,btc_open forward-filled
2014-01-29,794.0,btc_open forward-filled
2014-01-30,800.0,btc_open forward-filled
2014-01-31,804.0,btc_open forward-filled
2014-02-01,785.0,btc_open forward-filled
2014-02-02,815.0,btc_open forward-filled
2014-02-03,559.0,btc_open forward-filled
2014-02-04,440.0,btc_open forward-filled
2014-02-05,453.0,btc_open forward-filled
2014-02-06,664.0,btc_open forward-filled
2014-02-07,652.0,btc_open forward-filled
2014-02-08,590.0,btc_open forward-filled
2014-02-09,475.0,btc_open forward-filled
2014-02-10,373.0,btc_open forward-filled
2014-02-11,325.0,btc_open forward-filled
2014-02-12,383.0,btc_open forward-filled
2014-02-13,613.0,btc_open forward-filled
